[100, 200, 300, 400, 500, 600]
Any[8060.13932, 10957.0188, 18515.1682, 15776.7571, 17866.7746, 23412.0589]
Any[290.44860443779424, 86.1997501286784, 181.98849918590642, 104.15696401420426, 100.5582275831951, 147.0424989635271]
Any[5477.8828, 8124.616140000001, 9582.1486, 14133.387, 16811.6586, 19620.8104]
Any[260.77593946836913, 373.2526443660966, 53.56061632924384, 88.04505997211032, 101.71011156626953, 82.35228261917166]
Any[7283.6401, 9531.823666666669, 10304.042, 14965.0306, 14289.2595, 18199.5026]
Any[329.2679168402676, 450.03854736236843, 39.47742507599822, 103.77774489206496, 46.882776720964515, 98.23340124397977]
Any[5369.5364, 7114.489519999999, 9212.559733333333, 10401.0472, 13250.6163, 16752.9611]
Any[286.37706233810354, 398.41705141839674, 406.3988932477129, 48.81038128896981, 69.79376223994757, 104.30841422957741]
Any[6603.010366666666, 8210.64558, 9015.838575, 10785.5832, 11605.5908, 14442.3416]
Any[419.42804634924727, 467.9319521718333, 559.7895829870629, 98.70204488087691, 1291.6471859031944, 1361.5915000972414]
Any[5460.013014285713, 6716.2658666666675, 8505.89985, 9961.094866666665, 11368.8133, 14350.3914]
Any[337.69160146029714, 385.9408367735253, 461.05782287866845, 620.6928960881397, 1299.437523110247, 1035.1807958390984]
Any[29861.43, 34813.5603, 37193.0014, 46441.3763, 48392.149, 55116.2001]
Any[1376.255557519567, 1473.628057186791, 1531.7882954813756, 1193.8726258493687, 1691.7697282074143, 2424.839059331047]
Any[27589.8962, 35304.5311, 38743.881, 44470.1119, 48384.8974, 56472.7662]
Any[1341.477979786147, 1461.5695577883234, 1597.54116934282, 1192.1283681504672, 1746.4773089082132, 2478.8601715869927]
